Tempo (s),DC Current (V),DC Current (A),Torque (Nm),Speed (rpm),Temp Mos 1 (ºC),Temp Mos 2 (ºC),Temp Motor (ºC),Temp do sensor capacitivo (ºC),Velocidade atual (km/h),km total,km atual,Driving Mode,Brake Switch,,Data (DD/MM/AA):,18,11,24,,Hora inicio:,,,Hora Fim:,
18.388,75.2,0,0,-2,17,17,23,17,0,0,0,Park,OFF,,,,,,,,,,,
18.638,75.2,0,0,1,17,17,23,17,0,0,0,Park,OFF,,,,,,,,,,,
18.888,75.2,0,0,7,17,17,23,17,0,0,0,Park,OFF,,,,,,,,,,,
19.138,75.2,0,0,79,17,17,24,17,7,0,0,Park,OFF,,,,,,,,,,,
19.388,75.2,0,0,9,17,17,23,17,0,0,0,Park,OFF,,,,,,,,,,,
19.638,75.2,0,0,10,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
19.888,75.1,0,0,-1,17,17,23,17,0,0,0,Park,OFF,,,,,,,,,,,
20.138,75.1,0,0,2,17,17,23,17,0,0,0,Park,OFF,,,,,,,,,,,
20.388,75.2,0,0,4,17,17,23,17,0,0,0,Park,OFF,,,,,,,,,,,
20.638,75.1,0,0,-1,17,17,24,17,0,0,0,ECO,ON,,,,,,,,,,,
20.888,75.1,0,0,-1,17,17,23,17,0,0,0,ECO,OFF,,,,,,,,,,,
21.138,75.1,0,0,-1,17,17,23,17,0,0,0,ECO,OFF,,,,,,,,,,,
21.388,75.1,0,0,-1,17,17,25,17,0,0,0,ECO,OFF,,,,,,,,,,,
21.638,75.1,0,0,-1,17,17,27,17,0,0,0,ECO,OFF,,,,,,,,,,,
21.888,75.1,0,0,0,17,17,25,17,0,0,0,ECO,OFF,,,,,,,,,,,
22.138,75.0,0,0,0,17,17,25,17,0,0,0,ECO,OFF,,,,,,,,,,,
22.388,75.1,0,0,-2,17,17,26,17,0,0,0,ECO,OFF,,,,,,,,,,,
22.638,75.1,0,0,-1,17,17,26,17,0,0,0,ECO,OFF,,,,,,,,,,,
22.888,75.1,0,0,-8,17,17,26,17,0,0,0,ECO,OFF,,,,,,,,,,,
23.138,75.1,0,0,-9,17,17,26,17,0,0,0,ECO,OFF,,,,,,,,,,,
23.388,75.1,0,0,-3,17,17,26,17,0,0,0,ECO,OFF,,,,,,,,,,,
23.638,75.0,0,0,0,17,17,25,17,0,0,0,ECO,ON,,,,,,,,,,,
23.888,75.0,0,0,0,17,17,25,17,0,0,0,ECO,ON,,,,,,,,,,,
24.138,75.0,0,0,-1,17,17,25,17,0,0,0,ECO,ON,,,,,,,,,,,
24.388,75.1,0,0,-1,17,17,23,17,0,0,0,ECO,ON,,,,,,,,,,,
24.638,75.2,0,0,0,17,17,23,17,0,0,0,ECO,ON,,,,,,,,,,,
24.888,75.1,0,0,-1,17,17,23,17,0,0,0,ECO,ON,,,,,,,,,,,
25.138,75.1,0,0,-1,17,17,24,17,0,0,0,ECO,ON,,,,,,,,,,,
25.388,75.1,0,0,-1,17,17,24,17,0,0,0,ECO,ON,,,,,,,,,,,
